Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,ALVIN,BRAZORIA,TX,775110000,29.231225,-95.196088,Chemicals,NO,0,0,0,5111443
DYNO NOBEL INC-CHEYENNE PLANT,CHEYENNE,LARAMIE,WY,82001,41.0949,-104.908,Chemicals,NO,0,0,0,5011807
NEVADA GOLD MINES LLC - TURQUOISE RIDGE,GOLCONDA,HUMBOLDT,NV,89414,41.216,-117.212,Metal Mining,YES,0,56,0,4981304
PINTO VALLEY MINE,MIAMI,GILA,AZ,85539,33.417445,-110.98421,Metal Mining,NO,6,0,0,4840155
MONUMENT GAS PLANT,MONUMENT,LEA,NM,88265,32.624135,-103.292931,Natural Gas Processing,NO,1500,0,0,4401870
BAYER CROPSCIENCE LP,LULING,ST. CHARLES PARISH,LA,70070,29.92444,-90.352217,Chemicals,NO,150,760,0,4400910
EAGLE MINE LLC-HUMBOLDT MILL,CHAMPION,MARQUETTE,MI,49814,46.48541,-87.90505,Metal Mining,YES,30,38,0,4400104.3
DELAWARE CITY REFINERY,DELAWARE CITY,NEW CASTLE,DE,19706,39.591,-75.634,Petroleum,NO,0,4348606,0,4348606
PCS NITROGEN FERTILIZER LP,AUGUSTA,RICHMOND,GA,30901,33.426976,-81.932898,Chemicals,NO,3996566,29795,0,4218982
FLOPAM INC,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.26806,-91.14767,Chemicals,NO,4200000,0,0,4200000
BUICK MINE/MILL,BOSS,IRON,MO,65440,37.60617,-91.12341,Metal Mining,NO,399.35,6.93,0,4147751.1
NEVADA GOLD MINES LLC-CORTEZ DISTRICT,CRESCENT VALLEY,LANDER,NV,89821,40.205,-116.6657,Metal Mining,NO,0.9,0,0,4078154.4
POGO MINE,DELTA JUNCTION,SOUTHEAST FAIRBANKS CENSU,AK,99737,64.449722,-144.939623,Metal Mining,YES,42.02,55.74,0,4061789.52
MONTANA RESOURCES LLC,BUTTE,SILVER BOW,MT,59701,46.007588,-112.501703,Metal Mining,NO,1.86,0,0,3943593.6
